Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Tijuca;1;0;0;63;1300.0;725.0;50.0
Apartamento;Copacabana;1;0;0;28;1550.0;478.0;24.0
Apartamento;Méier;1;0;0;55;850.0;340.0;16.0
Quitinete;Centro;1;0;0;28;900.0;350.0;20.0
Apartamento;Copacabana;1;0;0;40;1500.0;510.0;54.0
Quitinete;Copacabana;1;0;0;40;1100.0;450.0;50.0
Apartamento;Botafogo;1;1;0;66;2200.0;700.0;
Apartamento;Barra da Tijuca;1;1;0;66;1800.0;1130.0;337.0
Apartamento;Flamengo;1;0;1;26;1100.0;381.0;29.0
Apartamento;Copacabana;1;0;0;55;3000.0;720.0;80.0
Apartamento;Flamengo;1;0;0;45;2000.0;528.0;24.0
Apartamento;Copacabana;1;0;0;50;2000.0;951.0;57.0
Conjunto Comercial/Sala;Barra da Tijuca;1;1;0;34;1700.0;1185.0;260.0
Apartamento;Tijuca;1;1;0;55;1600.0;653.0;41.0
Apartamento;Grajaú;1;0;0;60;1650.0;150.0;25.0
Apartamento;Santa Teresa;1;0;0;45;740.0;180.0;25.0
Apartamento;Barra da Tijuca;1;1;0;69;2500.0;1400.0;300.0
Apartamento;Tijuca;1;0;0;60;1800.0;470.0;
Apartamento;Barra da Tijuca;1;2;1;100;7000.0;1990.0;2300.0
Casa;Colégio;1;0;0;65;800.0;;
Conjunto Comercial/Sala;Centro;1;0;0;76;1300.0;750.0;
Apartamento;Copacabana;1;0;0;50;2500.0;1.0;1.0
Quitinete;Copacabana;1;0;0;23;1400.0;300.0;
Apartamento;Flamengo;1;0;0;42;1600.0;550.0;56.0
Apartamento;Copacabana;1;0;0;45;1600.0;490.0;73.0
Apartamento;Copacabana;1;0;0;35;1400.0;605.0;53.0
Quitinete;Santa Teresa;1;0;0;20;700.0;303.0;14.0
Quitinete;Centro;1;0;0;20;1090.0;300.0;15.0
Apartamento;Leme;1;0;0;65;3000.0;590.0;90.0
Apartamento;Copacabana;1;0;0;20;3000.0;;
Apartamento;Barra da Tijuca;1;1;1;71;2500.0;1756.0;192.0
Apartamento;Grajaú;1;0;1;73;2000.0;600.0;100.0
Apartamento;Gávea;1;0;0;50;2700.0;510.0;86.0
Apartamento;Tanque;1;1;1;64;900.0;470.0;15.0
Apartamento;Ipanema;1;0;0;54;2100.0;781.0;
Prédio Inteiro;Centro;1;92;0;6550;430000.0;;51985.0
Apartamento;Copacabana;1;0;0;55;2500.0;;
Apartamento;Glória;1;0;1;48;1100.0;500.0;
Apartamento;Flamengo;1;0;1;41;1700.0;630.0;55.0
Apartamento;Andaraí;1;2;0;67;1500.0;522.0;104.0
Apartamento;Humaitá;1;1;0;60;3200.0;614.0;250.0
Flat;Botafogo;1;1;1;70;2900.0;1071.0;85.0
Quitinete;Flamengo;1;0;0;30;2150.0;260.0;25.0
Quitinete;Centro;1;0;0;22;750.0;330.0;25.0
Quitinete;Copacabana;1;0;0;30;5000.0;600.0;
Apartamento;Leme;1;0;0;60;2600.0;600.0;60.0
Quitinete;Centro;1;0;0;32;700.0;480.0;90.0
Apartamento;Centro;1;0;0;50;1260.0;290.0;23.0
Apartamento;Lagoa;1;1;1;120;7000.0;1500.0;285.0
Apartamento;Copacabana;1;0;0;33;1400.0;561.0;29.0
Quitinete;Copacabana;1;0;0;30;1100.0;423.0;242.0
Apartamento;Flamengo;1;0;0;52;1550.0;620.0;
Apartamento;Copacabana;1;0;1;30;2700.0;;
Quitinete;Copacabana;1;0;0;40;1600.0;550.0;69.0
Flat;Barra da Tijuca;1;2;1;110;4000.0;2500.0;450.0
Apartamento;Catete;1;1;0;48;1700.0;725.0;
Flat;Humaitá;1;1;1;50;2700.0;1200.0;163.0
Apartamento;Lapa;1;0;0;32;1600.0;500.0;20.0
Flat;Barra da Tijuca;1;1;0;50;2900.0;1350.0;294.0
Apartamento;Ipanema;1;0;1;48;2400.0;766.0;87.0
Quitinete;Catete;1;0;0;23;1350.0;320.0;25.0
Apartamento;Tijuca;1;1;0;51;1300.0;412.0;21.0
Apartamento;Centro;1;0;0;40;1000.0;510.0;21.0
Apartamento;Copacabana;1;0;0;40;2000.0;510.0;
Apartamento;Méier;1;1;0;55;900.0;250.0;17.0
Apartamento;Barra da Tijuca;1;1;0;68;2100.0;1025.0;
Apartamento;Copacabana;1;0;0;38;2000.0;560.0;69.0
Apartamento;Barra da Tijuca;1;1;1;82;1800.0;1300.0;265.0
Flat;Ipanema;1;1;0;65;3600.0;1200.0;200.0
Conjunto Comercial/Sala;Barra da Tijuca;1;1;0;21;950.0;740.0;169.0
Apartamento;Santa Teresa;1;0;0;31;1300.0;500.0;
Apartamento;Glória;1;0;0;50;1400.0;450.0;20.0
Apartamento;Humaitá;1;1;0;62;2500.0;980.0;115.0
Apartamento;Barra da Tijuca;1;1;0;58;1800.0;966.0;
Apartamento;Centro;1;0;0;55;850.0;350.0;35.0
Apartamento;Centro;1;0;0;28;900.0;446.0;24.0
Apartamento;Catete;1;0;0;27;1000.0;359.0;29.0
Apartamento;Copacabana;1;0;0;35;1800.0;1050.0;130.0
Quitinete;Praça da Bandeira;1;0;0;22;800.0;313.0;25.0
Apartamento;Engenho Novo;1;1;0;62;900.0;555.0;
Apartamento;Tijuca;1;0;0;35;800.0;380.0;24.0
Apartamento;Copacabana;1;0;0;50;1600.0;666.0;92.0
Apartamento;Cascadura;1;0;0;40;680.0;240.0;
Apartamento;Copacabana;1;0;0;50;1300.0;699.0;
Flat;Leblon;1;1;0;55;7000.0;1.0;1.0
Apartamento;Botafogo;1;0;0;40;1400.0;420.0;24.0
